group,names,scores,logfoldchanges,pvals,pvals_adj
8,GAL3ST3,-0.014726005,-0.13870539,0.9882507726381218,0.9990280404479022
8,TMEM271,-0.014864517,0.16713117,0.9881402679440091,0.9990280404479022
8,DEPRECATED_OOEP,-0.015003294,-15.576128,0.9880295527922838,0.9990280404479022
8,RAB6C,-0.015003294,-15.659293,0.9880295527922838,0.9990280404479022
8,UBE2U,-0.015003294,-15.644915,0.9880295527922838,0.9990280404479022
8,PCDH10,-0.015168742,0.54954666,0.9878975587215653,0.9990280404479022
8,HEPACAM,-0.01527913,0.52921355,0.9878094926301451,0.9990280404479022
8,KRTAP2-2,-0.015420327,0.024975218,0.9876968469052978,0.9990280404479022
8,HAPLN2,-0.015558971,-15.616584,0.9875862380313222,0.9990280404479022
8,PFN3,-0.015558971,-15.713428,0.9875862380313222,0.9990280404479022
8,PNMA6F,-0.015558971,-15.665414,0.9875862380313222,0.9990280404479022
8,SMIM23,-0.015835775,0.20178723,0.9873654072524153,0.9990280404479022
8,TLR9,-0.016102368,0.6964128,0.9871527237933434,0.9990280404479022
8,HPR,-0.016371075,0.7879788,0.9869383558023531,0.9990280404479022
8,SYCN,-0.016390309,0.50597686,0.9869230112335753,0.9990280404479022
8,DNASE1L2,-0.01639066,0.35999647,0.9869227303261828,0.9990280404479022
8,DEPRECATED_LRRC37B,-0.016391013,0.079358086,0.9869224494187919,0.9990280404479022
8,GUCA1ANB,-0.016531859,-0.41984594,0.9868100865928325,0.9990280404479022
8,CRHR2,-0.016670326,-15.788896,0.9866996201445924,0.9990280404479022
8,PYY,-0.016670326,-15.868044,0.9866996201445924,0.9990280404479022
8,PIRT,-0.017073628,0.2963787,0.9863778784185316,0.9990280404479022
8,VSIG10L2,-0.017083442,0.3720055,0.9863700482151243,0.9990280404479022
8,POTEB3,-0.017087227,-0.011521399,0.9863670284957754,0.9990280404479022
8,DEPRECATED_PCDH11Y,-0.017087843,-0.53511417,0.9863665369135743,0.9990280404479022
8,MT1HL1,-0.017226003,-15.7389965,0.9862563172925208,0.9990280404479022
8,SERINC4,-0.01750721,-0.48389095,0.986031981322999,0.9990280404479022
8,PSG4,-0.017642684,0.47055054,0.9859239043778454,0.9990280404479022
8,NEUROG3,-0.01778168,-15.85073,0.9858130186837696,0.9990280404479022
8,MYL10,-0.018198319,0.11198686,0.9854806441530993,0.9990280404479022
8,TMEM151A,-0.018198406,0.0412584,0.9854805739284469,0.9990280404479022
8,KREMEN2,-0.018198583,0.13692293,0.9854804334791424,0.9990280404479022
8,OXT,-0.018199198,-0.75200826,0.9854799419065801,0.9990280404479022
8,TRIM77,-0.018612579,0.61666775,0.9851501681936333,0.9990280404479022
8,LMX1B,-0.018612666,0.33827525,0.9851500979695162,0.9990280404479022
8,CYP11B2,-0.01875404,0.00042171765,0.9850373181864672,0.9990280404479022
8,GFRA4,-0.018893037,-15.908308,0.9849264347435787,0.9990280404479022
8,H3-4,-0.018893037,-16.012842,0.9849264347435787,0.9990280404479022
8,PYDC1,-0.018893037,-16.06766,0.9849264347435787,0.9990280404479022
8,KIR3DL3,-0.018893037,-15.915169,0.9849264347435787,0.9990280404479022
8,CYP4F12,-0.0192933,0.47544777,0.9846071285785457,0.9990280404479022
8,FGF8,-0.019448714,-15.899349,0.9844831496858042,0.9990280404479022
8,GALP,-0.019448714,-15.949057,0.9844831496858042,0.9990280404479022
8,PRAMEF12,-0.019580096,0.717846,0.9843783419930398,0.9990280404479022
8,ABCC8,-0.019726574,0.29646695,0.9842614913892049,0.9990280404479022
8,CCL26,-0.020004392,-16.15729,0.9840398694186798,0.9990280404479022
8,CYP2D6,-0.020004392,-15.793651,0.9840398694186798,0.9990280404479022
8,TLX2,-0.020004392,-15.812736,0.9840398694186798,0.9990280404479022
8,SLC22A12,-0.020004392,-15.969496,0.9840398694186798,0.9990280404479022
8,PRSS56,-0.020004392,-16.043114,0.9840398694186798,0.9990280404479022
8,IFNL1,-0.020004392,-16.021215,0.9840398694186798,0.9990280404479022
8,KRTAP9-2,-0.020283837,-0.4778357,0.9838169495758662,0.9990280404479022
8,PLK5,-0.020421116,-0.40850642,0.9837074387776222,0.9990280404479022
8,ROPN1,-0.020560069,-16.016905,0.9835965940790276,0.9990280404479022
8,EN1,-0.020560069,-16.098951,0.9835965940790276,0.9990280404479022
8,FAM9B,-0.020835113,0.38618457,0.9833771878176731,0.9990280404479022
8,AQP10,-0.020976663,-0.16196403,0.9832642725543037,0.9990280404479022
8,TGM4,-0.020977102,-0.54811513,0.9832639214501507,0.9990280404479022
8,CRYBA1,-0.020978423,-1.0785623,0.9832628681377114,0.9990280404479022
8,SORCS3,-0.020978687,-1.180786,0.983262657475227,0.9990280404479022
8,ATCAY,-0.021115746,-16.155235,0.9831533238036643,0.9990280404479022
8,LY6L,-0.021115746,-16.123417,0.9831533238036643,0.9990280404479022
8,CBY2,-0.021115746,-15.8161955,0.9831533238036643,0.9990280404479022
8,RASGEF1C,-0.021251487,0.097149745,0.9830450437548628,0.9990280404479022
8,RPTN,-0.021390878,0.30905706,0.9829338498793863,0.9990280404479022
8,LMX1A,-0.021532295,-0.076406404,0.9828210412753865,0.9990280404479022
8,NKPD1,-0.02166139,0.2771117,0.9827180637864004,0.9990280404479022
8,DEPRECATED_SCGB1C2,-0.021671424,-16.0474,0.9827100587294025,0.9990280404479022
8,C19orf85,-0.021671424,-16.02499,0.9827100587294025,0.9990280404479022
8,KRTAP1-4,-0.021671424,-16.132446,0.9827100587294025,0.9990280404479022
8,KCNC1,-0.0219477,-0.10167551,0.9824896745791889,0.9990280404479022
8,PNMA3,-0.021947788,-0.16784215,0.9824896043598215,0.9990280404479022
8,SPEM1,-0.021947876,-0.19755669,0.9824895341404541,0.9990280404479022
8,ENSG00000236543,-0.021948228,-0.1295839,0.9824892532629864,0.9990280404479022
8,IL17REL,-0.02208784,0.2376351,0.9823778855184361,0.9990280404479022
8,RFPL4AL1,-0.02208784,0.07093185,0.9823778855184361,0.9990280404479022
8,PRR20G,-0.02208784,0.24483131,0.9823778855184361,0.9990280404479022
8,TRIM64,-0.022088809,-1.0867283,0.9823771131077854,0.9990280404479022
8,JAKMIP1,-0.022089778,-1.1947622,0.9823763406971512,0.9990280404479022
8,TMEM275,-0.022227101,-16.343529,0.98226679899305,0.9990280404479022
8,IGLL1,-0.022227101,-16.329699,0.98226679899305,0.9990280404479022
8,KRTAP9-8,-0.022227101,-16.310081,0.98226679899305,0.9990280404479022
8,HMX1,-0.022227101,-16.297247,0.98226679899305,0.9990280404479022
8,RDH8,-0.022643387,0.0054740063,0.9819347351993282,0.9990280404479022
8,CGB5,-0.022643387,-0.3022834,0.9819347351993282,0.9990280404479022
8,DEPRECATED_PDZK1,-0.022643475,-0.4447517,0.98193466498105,0.9990280404479022
8,CALY,-0.022643827,-0.5172407,0.9819343841079382,0.9990280404479022
8,EVX2,-0.022643914,-0.58032614,0.9819343138896607,0.9990280404479022
8,TMDD1,-0.022648668,-2.3425107,0.9819305221028796,0.9990280404479022
8,ADAMTSL5,-0.022769883,0.55608505,0.9818338316781287,0.9990280404479022
8,NPBWR1,-0.022782778,-16.092445,0.9818235447314094,0.9990280404479022
8,TPSD1,-0.022782778,-16.092102,0.9818235447314094,0.9990280404479022
8,GJA8,-0.023469443,0.7583027,0.9812758131127914,0.9990280404479022
8,FOXI1,-0.02347358,0.039438028,0.9812725129167253,0.9990280404479022
8,FCRLB,-0.02361315,0.5210732,0.9811611841503313,0.9990280404479022
8,IQCA1L,-0.02375483,-0.36970243,0.9810481705555677,0.9990280404479022
8,AANAT,-0.023754917,-0.5984241,0.9810481003391,0.9990280404479022
8,BARHL2,-0.023756325,-1.124416,0.9810469768756359,0.9990280404479022
8,NEUROG2,-0.023894135,-16.331594,0.980937053179449,0.9990280404479022
8,TAFA3,-0.023894135,-16.019077,0.980937053179449,0.9990280404479022
8,NKX6-3,-0.023894135,-16.120985,0.980937053179449,0.9990280404479022
8,HDC,-0.023942374,0.44079706,0.9808985747049775,0.9990280404479022
8,SOX8,-0.023989469,0.8160877,0.9808610090839035,0.9990280404479022
8,DEPRECATED_PSG4,-0.024168737,0.16621123,0.9807180143563927,0.9990280404479022
8,ALDOB,-0.024169002,0.073570855,0.9807178037090791,0.9990280404479022
8,DEPRECATED_TUBB2A,-0.024256414,0.48203403,0.9806480795222433,0.9990280404479022
8,ENPP7,-0.02431152,-0.9700101,0.9806041245720428,0.9990280404479022
8,ATP4A,-0.024449812,-16.40294,0.9804938161627088,0.9990280404479022
8,FOXE3,-0.024449812,-16.448198,0.9804938161627088,0.9990280404479022
8,OR52M1,-0.024582557,0.17923668,0.9803879316750278,0.9990280404479022
8,CKM,-0.024724504,0.2671107,0.9802747100836172,0.9990280404479022
8,SALL1,-0.024865922,0.01706473,0.980161910176985,0.9990280404479022
8,PRLHR,-0.02500549,-16.413929,0.9800505851678393,0.9990280404479022
8,TCP10L2,-0.02500549,-16.278578,0.9800505851678393,0.9990280404479022
8,C1QL3,-0.02500549,-16.35272,0.9800505851678393,0.9990280404479022
8,PRDM13,-0.02500549,-16.215319,0.9800505851678393,0.9990280404479022
8,DEPRECATED_ACTBL2,-0.02500549,-16.148188,0.9800505851678393,0.9990280404479022
8,PGA3,-0.025282074,-0.39578784,0.9798299725185325,0.9990280404479022
8,SEPTIN3,-0.025421819,-0.62508833,0.9797185082470679,0.9990280404479022
8,RCOR2,-0.025522303,0.3757547,0.9796383595367952,0.9990280404479022
8,IFNW1,-0.02554563,0.6483071,0.9796197529886583,0.9990280404479022
